Hour,Edge,flowrate
2.0,1,7.280008586341797e-05
2.0,2,2.1345978947037874e-06
2.0,3,2.1788783008278604e-06
2.0,4,7.801612950648713e-07
2.0,5,2.4591123935624196e-05
2.0,6,-1.648346651747032e-06
2.0,7,-5.4157161538194715e-06
2.0,8,-1.879923686771302e-06
2.0,9,-3.90114954982416e-06
2.0,10,3.6499765908186376e-06
2.0,11,-8.725066146466048e-06
2.0,12,-4.638285624518551e-05
2.0,13,-0.00011190550298137052
2.0,14,0.0017555110789249358
2.0,15,0.0015256110281253756
2.0,16,0.0008922661810000234
2.0,17,0.0003085378820728098
2.0,18,0.00019555654792428613
2.0,19,7.083596266800951e-05
2.0,20,-6.042205821800117e-05
2.0,21,-0.00018075934813449943
2.0,22,0.00038814383228763207
2.0,23,0.0003299109736914993
2.0,24,0.00024588980454697234
2.0,25,0.00016879132187858637
2.0,26,4.122334838116806e-05
2.0,27,-5.7817949694967746e-05
2.0,28,0.0004243131269519194
2.0,29,0.0003277815182152838
2.0,30,0.00014502399216448613
2.0,31,1.8630236919484607e-05
2.0,32,-1.0335529434423673e-05
2.0,33,-5.7899442486183246e-06
2.0,34,-6.882850921239172e-05
2.0,35,-0.00011898328626960346
2.0,36,-8.687136656210868e-08
2.0,37,6.764389039853909e-06
2.0,38,9.640171160126265e-06
2.0,39,-6.307790081520095e-06
2.0,40,-3.065067627675702e-06
2.0,41,7.189002966995255e-05
2.0,42,3.836889640792503e-06
2.0,43,3.16885649455066e-05
2.0,44,4.209651941224029e-05
2.0,45,-6.614128783242691e-05
2.0,46,3.938578491599394e-06
2.0,47,-3.68759963799208e-05
2.0,48,-8.286519569439424e-05
2.0,49,-1.5822802086566035e-06
2.0,50,-5.041623938995919e-06
2.0,51,-4.391185052400007e-05
2.0,52,-1.5643636599901733e-06
2.0,53,-9.017899198693312e-05
2.0,54,0.0001776500507700397
2.0,55,4.450994764785287e-05
2.0,56,-1.5402038776143598e-05
2.0,57,-3.823653561007179e-05
2.0,58,0.0019686638900078056
3.0,1,7.280008586341797e-05
3.0,2,2.1345978947037874e-06
3.0,3,2.1788783008278604e-06
3.0,4,7.801612950648713e-07
3.0,5,2.4591123935624196e-05
3.0,6,-1.648346651747032e-06
3.0,7,-5.4157161538194715e-06
3.0,8,-1.879923686771302e-06
3.0,9,-3.90114954982416e-06
